,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NHWA_MALE,NHWA_FEMALE,H_MALE,H_FEMALE,% White,% Minority,Unemployment Change
114437,50,13,233,Georgia,Polk County,12,0,42613,20840,21773,2556,2892,206,178,153,172,14709,15820,3177,2606,71.6424565273508,28.019618426301836,8.6
114665,50,13,235,Georgia,Pulaski County,12,0,11137,4788,6349,1379,2183,25,24,64,65,3062,3825,214,183,61.838915327287424,37.14644877435575,3.6
114893,50,13,237,Georgia,Putnam County,12,0,22119,10754,11365,2690,3132,69,48,54,79,7207,7422,731,638,66.1377096613771,33.640761336407614,7.8
115121,50,13,239,Georgia,Quitman County,12,0,2299,1097,1202,533,583,5,11,3,3,527,568,18,29,47.62940408873423,51.54414963027403,0.1
115349,50,13,241,Georgia,Rabun County,12,0,17137,8366,8771,145,127,54,38,80,99,7282,7808,740,606,88.05508548754158,11.022932835385424,8.9
115577,50,13,243,Georgia,Randolph County,12,0,6778,3141,3637,1890,2278,1,8,19,20,1122,1258,101,80,35.113602832694006,64.8716435526704,2.6
115805,50,13,245,Georgia,Richmond County,12,0,202518,98225,104293,54689,62258,439,421,1568,1977,34848,33466,5388,4872,33.7323102144007,64.9878035532644,8.2
116033,50,13,247,Georgia,Rockdale County,12,0,90896,42758,48138,24154,28670,279,212,818,898,12714,13584,4830,4689,28.931966203133253,71.01522619257173,9.2
116261,50,13,249,Georgia,Schley County,12,0,5257,2510,2747,474,591,3,3,27,18,1860,1931,116,185,72.11337264599581,26.954536808065438,2.3
116489,50,13,251,Georgia,Screven County,12,0,13966,6940,7026,2870,2850,36,28,41,50,3774,3879,194,158,54.79736502935702,44.586853787770295,8.6
116717,50,13,253,Georgia,Seminole County,12,0,8090,3884,4206,1236,1445,13,15,31,34,2444,2527,142,149,61.446229913473424,37.88627935723115,3.1
116945,50,13,255,Georgia,Spalding County,12,0,66703,32041,34662,10834,12460,162,167,315,377,18646,19729,1829,1490,57.5311455256885,41.4284215102769,8.9
117173,50,13,257,Georgia,Stephens County,12,0,25925,12507,13418,1304,1543,87,58,104,116,10228,11017,553,452,81.94792671166827,16.26615236258438,8.2
117401,50,13,259,Georgia,Stewart County,12,0,6621,4520,2101,1932,1277,49,8,188,26,756,720,2145,64,22.292705029451746,85.92357649901827,3.1
117629,50,13,261,Georgia,Sumter County,12,0,29524,13827,15697,7031,8589,78,79,188,219,5584,5939,978,848,39.02926432732692,61.00121934697196,5.1
117857,50,13,263,Georgia,Talbot County,12,0,6195,2945,3250,1534,1881,26,17,6,11,1290,1237,88,93,40.790960451977405,59.015334947538335,7.9
118085,50,13,265,Georgia,Taliaferro County,12,0,1537,749,788,412,435,1,2,7,13,274,312,42,20,38.12621990891347,60.63760572543917,5.7
118313,50,13,267,Georgia,Tattnall County,12,0,25286,14498,10788,5000,2459,85,83,85,83,7610,6930,1813,1276,57.50217511666534,43.04358142845843,2.8
118541,50,13,269,Georgia,Taylor County,12,0,8020,3820,4200,1369,1650,15,9,35,35,2263,2381,127,84,57.905236907730675,41.446384039900245,6.9
118769,50,13,271,Georgia,Telfair County,12,0,15860,9307,6553,3475,2378,49,10,82,29,3929,3849,2168,243,49.04161412358133,53.177805800756616,3.5
118997,50,13,273,Georgia,Terrell County,12,0,8531,4058,4473,2361,2762,33,19,17,17,1508,1535,125,120,35.66990974094479,63.931543781502754,4.6
119225,50,13,275,Georgia,Thomas County,12,0,44451,21012,23439,7371,8732,148,131,184,281,12272,13312,951,797,57.55551056219208,41.83257969449507,6.7
119453,50,13,277,Georgia,Tift County,12,0,40644,19683,20961,5823,6669,108,97,309,319,10801,11599,2674,2280,55.11268575927566,44.97342781222321,5.9
119681,50,13,279,Georgia,Toombs County,12,0,26830,12699,14131,3196,3860,111,116,98,124,7560,8573,1732,1441,60.130450987700335,39.79873276183377,7.4
119909,50,13,281,Georgia,Towns County,12,0,12037,5726,6311,70,70,24,28,49,62,5343,5896,182,207,93.3704411398189,5.748940765971588,9.8
120137,50,13,283,Georgia,Treutlen County,12,0,6901,3429,3472,1077,1122,10,8,12,12,2175,2226,132,76,63.77336617881466,35.487610491233156,6.0
120365,50,13,285,Georgia,Troup County,12,0,69922,33415,36507,11773,13773,142,143,862,777,18890,20143,1370,1239,55.82363204713824,43.01793426961471,12.2
120593,50,13,287,Georgia,Turner County,12,0,7985,3853,4132,1517,1677,24,22,41,37,2048,2218,236,150,53.42517219787101,46.38697557921102,6.9
120821,50,13,289,Georgia,Twiggs County,12,0,8120,3971,4149,1590,1713,15,21,11,16,2211,2260,102,117,55.0615763546798,44.15024630541872,6.8
121049,50,13,291,Georgia,Union County,12,0,24511,11868,12643,125,88,79,48,27,92,11105,11840,430,444,93.61103178164906,5.4383746073191634,6.3
121277,50,13,293,Georgia,Upson County,12,0,26320,12477,13843,3371,4117,77,51,82,89,8508,9165,334,294,67.1466565349544,31.97188449848024,8.9
121505,50,13,295,Georgia,Walker County,12,0,69761,34309,35452,1652,1408,148,137,264,266,30848,32317,950,790,90.5448603087685,8.048909849342756,7.0
121733,50,13,297,Georgia,Walton County,12,0,94593,46187,48406,8420,9422,181,201,728,881,34039,35195,2335,2319,73.19146237036567,25.886693518547883,9.2
121961,50,13,299,Georgia,Ware County,12,0,35734,17816,17918,5617,5171,87,89,182,168,10923,11556,850,724,62.906475625454746,36.066491296804166,7.0
122189,50,13,301,Georgia,Warren County,12,0,5254,2485,2769,1409,1656,9,8,22,15,984,1030,51,37,38.33269889607918,61.03920822230682,6.5
122417,50,13,303,Georgia,Washington County,12,0,20374,10412,9962,5532,5434,20,17,60,65,4411,4180,353,181,42.16648669873368,57.239619122410915,5.3
122645,50,13,305,Georgia,Wayne County,12,0,29927,15336,14591,3238,2794,127,59,108,123,10609,10668,1154,794,71.09633441374011,28.058275136164667,6.7
122873,50,13,307,Georgia,Webster County,12,0,2607,1295,1312,546,553,7,6,7,8,666,672,74,56,51.32336018411968,48.216340621403916,1.6
123101,50,13,309,Georgia,Wheeler County,12,0,7855,5058,2797,2215,752,4,4,20,10,2560,1850,269,154,56.142584341183955,43.64099299809039,3.5
123329,50,13,311,Georgia,White County,12,0,30798,14996,15802,355,270,98,74,79,91,13774,14576,504,530,92.05143191116306,6.497175141242938,8.0
123557,50,13,313,Georgia,Whitfield County,12,0,104628,52055,52573,2395,2212,790,702,792,923,28908,30884,19733,18281,57.14722636387965,43.80089459800436,15.9
123785,50,13,315,Georgia,Wilcox County,12,0,8635,5167,3468,2006,973,16,12,40,31,2786,2298,296,133,58.87666473653734,40.613781123335265,3.0
124013,50,13,317,Georgia,Wilkes County,12,0,9777,4669,5108,1861,2157,10,13,45,42,2450,2575,283,242,51.39613378336914,47.591285670451065,4.4
124241,50,13,319,Georgia,Wilkinson County,12,0,8954,4302,4652,1577,1828,27,20,15,21,2486,2600,156,121,56.80142952870225,42.04824659370114,3.6
124469,50,13,321,Georgia,Worth County,12,0,20247,9707,10540,2590,3080,45,24,53,93,6695,7022,250,237,67.74830839136662,31.47132908579049,5.7
125837,50,16,1,Idaho,Ada County,12,0,481587,241132,240455,3807,2828,2003,1946,5847,7284,202990,202976,20842,20203,84.29754125422821,13.44720683905504,9.8
126065,50,16,3,Idaho,Adams County,12,0,4294,2207,2087,7,9,37,25,15,22,2036,1898,75,80,91.61620866325106,6.2878435025617145,11.1
126293,50,16,5,Idaho,Bannock County,12,0,87808,43650,44158,498,461,1667,1644,570,856,36332,36860,4016,3822,83.3545918367347,15.41317419825073,7.7
126521,50,16,7,Idaho,Bear Lake County,12,0,6125,3069,3056,13,10,26,39,13,19,2854,2850,152,111,93.12653061224489,6.253061224489796,5.2
126749,50,16,9,Idaho,Benewah County,12,0,9298,4775,4523,25,18,395,383,12,21,4058,3807,177,179,84.58808345880836,13.01355130135513,8.6
126977,50,16,11,Idaho,Bingham County,12,0,46811,23314,23497,169,112,1638,1794,177,313,17143,17431,4332,4035,73.85870842323385,26.852662835658286,4.0
127205,50,16,13,Idaho,Blaine County,12,0,23021,11566,11455,102,51,195,203,103,180,8555,8412,2654,2753,73.70227183875592,27.110029972633683,19.2
127433,50,16,15,Idaho,Boise County,12,0,7831,4076,3755,18,18,52,46,30,49,3699,3357,195,209,90.10343506576427,7.878942663772187,11.2
127661,50,16,17,Idaho,Bonner County,12,0,45739,22846,22893,94,53,225,192,95,262,21217,21139,763,790,92.60368613218479,5.408950785981329,12.4
127889,50,16,19,Idaho,Bonneville County,12,0,119062,59452,59610,495,384,778,790,630,728,48793,49475,8201,7739,82.53514975390974,16.583796677361377,6.0
128117,50,16,21,Idaho,Boundary County,12,0,12245,6146,6099,51,34,99,144,53,65,5560,5458,300,322,89.9795835034708,8.721927317272355,6.3
128345,50,16,23,Idaho,Butte County,12,0,2597,1324,1273,7,4,11,17,2,6,1215,1145,69,70,90.8740854832499,7.162110127069695,3.1
128573,50,16,25,Idaho,Camas County,12,0,1106,565,541,3,3,9,5,2,2,491,490,45,25,88.69801084990958,8.499095840867993,10.0
128801,50,16,27,Idaho,Canyon County,12,0,229849,114075,115774,1008,903,1979,2025,1138,1317,79086,81709,29953,28994,69.95679772372296,29.28748874260928,9.5
129029,50,16,29,Idaho,Caribou County,12,0,7155,3651,3504,6,3,28,23,16,14,3303,3222,264,192,91.19496855345912,7.631027253668764,3.8
129257,50,16,31,Idaho,Cassia County,12,0,24030,12219,11811,112,98,196,172,94,98,8362,8395,3478,3053,69.73366625052019,30.382854764877237,4.8
129485,50,16,33,Idaho,Clark County,12,0,845,432,413,8,2,9,17,6,3,221,212,195,181,51.24260355029586,49.82248520710059,2.5
129713,50,16,35,Idaho,Clearwater County,12,0,8756,4836,3920,37,18,129,90,30,35,4313,3561,233,130,89.92690726359068,8.017359524897213,7.4
129941,50,16,37,Idaho,Custer County,12,0,4315,2205,2110,20,5,18,24,8,6,2018,1942,105,94,91.77288528389339,6.488991888760139,4.9
130169,50,16,39,Idaho,Elmore County,12,0,27511,14415,13096,514,327,238,230,415,430,10284,9631,2696,2191,72.38922612773072,25.59339900403475,6.5
130397,50,16,41,Idaho,Franklin County,12,0,13876,7121,6755,29,18,62,80,12,18,6481,6124,491,454,90.84029979821274,8.388584606514845,5.7
130625,50,16,43,Idaho,Fremont County,12,0,13099,6858,6241,71,39,70,72,18,29,5784,5337,894,748,84.89961065730208,14.817925032445226,4.7
130853,50,16,45,Idaho,Gem County,12,0,18112,9106,9006,28,18,106,108,53,129,7932,7887,830,732,87.3398851590106,11.064487632508833,8.7
131081,50,16,47,Idaho,Gooding County,12,0,15179,7728,7451,47,42,169,131,65,58,5120,5146,2385,2044,67.63291389419594,32.55155148560511,4.3
131309,50,16,49,Idaho,Idaho County,12,0,16667,8726,7941,52,33,277,267,36,59,7887,7218,324,269,90.62818743625127,7.901841963160737,7.6
131537,50,16,51,Idaho,Jefferson County,12,0,29871,15276,14595,85,62,204,225,109,73,13083,12754,1725,1439,86.49526296407886,13.129791436510327,4.2
131765,50,16,53,Idaho,Jerome County,12,0,24412,12518,11894,103,85,295,260,67,78,7346,7347,4882,4230,60.18761264951663,40.963460593150906,5.1
131993,50,16,55,Idaho,Kootenai County,12,0,165697,81998,83699,397,303,1104,1113,565,962,74126,75550,4123,4063,90.3311466109827,7.622346813762471,13.4
132221,50,16,57,Idaho,Latah County,12,0,40108,20365,19743,262,190,186,158,443,530,18038,17454,904,913,88.49107409993019,8.94085967886706,6.8
132449,50,16,59,Idaho,Lemhi County,12,0,8027,4056,3971,18,11,53,53,10,24,3791,3685,144,140,93.13566712345833,5.643453344960758,6.4
132677,50,16,61,Idaho,Lewis County,12,0,3838,1954,1884,16,8,147,106,19,45,1623,1589,102,80,83.68942157373633,13.626889004689943,8.2
132905,50,16,63,Idaho,Lincoln County,12,0,5366,2779,2587,20,8,57,47,17,19,1772,1713,892,794,64.94595601938128,34.55087588520313,9.1
133133,50,16,65,Idaho,Madison County,12,0,39907,20227,19680,170,131,118,94,235,344,17813,17370,1634,1464,88.16247776079385,10.499411130879293,3.0
133361,50,16,67,Idaho,Minidoka County,12,0,21039,10512,10527,91,86,257,232,53,79,6328,6576,3903,3665,61.33371357954276,39.76424735015922,4.6
133589,50,16,69,Idaho,Nez Perce County,12,0,40408,19933,20475,131,84,1177,1254,122,190,17300,17791,841,791,86.84171451197783,11.359136804593149,9.1
133817,50,16,71,Idaho,Oneida County,12,0,4531,2272,2259,11,6,12,14,9,19,2120,2115,103,98,93.46722577797397,6.003089825645553,4.6
134045,50,16,73,Idaho,Owyhee County,12,0,11823,6046,5777,55,53,262,265,52,44,4123,4028,1622,1424,68.94189292057852,31.946206546561783,7.7
134273,50,16,75,Idaho,Payette County,12,0,23951,11981,11970,62,55,222,210,113,135,9291,9405,2176,2013,78.05937121623315,20.81750240073483,6.3
134501,50,16,77,Idaho,Power County,12,0,7681,3865,3816,44,40,141,150,17,22,2330,2329,1356,1299,60.656164561906,39.95573493034761,3.4
134729,50,16,79,Idaho,Shoshone County,12,0,12882,6474,6408,62,24,121,106,26,68,5870,5863,265,198,91.08057755006986,6.753609687936655,13.7
134957,50,16,81,Idaho,Teton County,12,0,12142,6372,5770,29,26,50,56,26,43,5186,4682,1074,953,81.2716191731181,18.58837094383133,13.8
135185,50,16,83,Idaho,Twin Falls County,12,0,86878,42819,44059,392,398,590,592,654,883,33251,34677,7704,7141,78.18780358663874,21.126176937774808,8.7
135413,50,16,85,Idaho,Valley County,12,0,11392,5912,5480,36,18,63,69,37,34,5424,5058,288,244,92.0119382022472,6.925912921348315,16.9
135641,50,16,87,Idaho,Washington County,12,0,10194,5075,5119,36,26,86,88,50,52,3952,4108,894,820,79.06611732391603,20.12948793407887,5.1
135869,50,17,1,Illinois,Adams County,12,0,65435,32232,33203,1351,1206,118,72,263,352,29356,30454,610,551,91.40368304424238,6.912202949491862,9.0
136097,50,17,3,Illinois,Alexander County,12,0,5761,2798,2963,880,950,15,11,6,11,1791,1881,50,57,63.73893421281027,34.36903315396633,10.4
136325,50,17,5,Illinois,Bond County,12,0,16426,8528,7898,783,258,64,46,94,40,7076,7278,411,183,87.38585169852672,11.439181784975041,9.1
136553,50,17,7,Illinois,Boone County,12,0,53544,26768,26776,787,716,206,214,354,431,18967,19507,6341,5846,71.85492305393694,27.818242940385478,18.9
136781,50,17,9,Illinois,Brown County,12,0,6578,4227,2351,1227,15,82,5,14,7,2577,2253,405,51,73.42657342657343,27.45515354211006,6.2
137009,50,17,11,Illinois,Bureau County,12,0,32628,16004,16624,167,176,64,91,120,225,13923,14557,1595,1491,87.28699276694863,12.041804585019001,9.6
137237,50,17,13,Illinois,Calhoun County,12,0,4739,2383,2356,12,9,3,8,2,12,2316,2284,35,33,97.0668917493142,2.4055707955264825,12.8
137465,50,17,15,Illinois,Carroll County,12,0,14305,7126,7179,102,55,35,33,35,52,6578,6697,295,264,92.79972037749039,6.088780146801818,12.9
137693,50,17,17,Illinois,Cass County,12,0,12147,6086,6061,368,256,58,32,50,48,4437,4620,1240,1109,74.56162015312422,26.0228863093768,6.6
137921,50,17,19,Illinois,Champaign County,12,0,209689,104175,105514,13759,15270,423,343,11957,10929,69181,70399,6807,6310,66.56524662714783,31.37885153727663,7.6
138149,50,17,21,Illinois,Christian County,12,0,32304,16438,15866,441,79,40,51,85,120,15369,15248,337,218,94.77773650321942,4.2440564635958395,9.9
138377,50,17,23,Illinois,Clark County,12,0,15441,7649,7792,40,35,16,20,15,44,7374,7531,141,96,96.528722233016,2.6358396476912116,16.9
138605,50,17,25,Illinois,Clay County,12,0,13184,6531,6653,41,35,15,20,43,72,6262,6367,113,100,95.79035194174757,3.3297936893203888,19.7
138833,50,17,27,Illinois,Clinton County,12,0,37562,19448,18114,1173,203,80,64,76,148,17226,17043,744,454,91.23316117352644,7.8323837921303445,11.0
139061,50,17,29,Illinois,Coles County,12,0,50621,24589,26032,1029,1012,59,71,236,296,22241,23670,712,668,90.695561130756,8.065822484739535,8.8
139289,50,17,31,Illinois,Cook County,12,0,5150233,2500872,2649361,558359,668130,19525,18414,194691,212473,1060247,1101909,669766,649517,41.98171228369668,58.07261535546062,14.4
139517,50,17,33,Illinois,Crawford County,12,0,18667,9796,8871,900,70,37,35,45,79,8449,8450,289,142,90.52874055820432,8.555204371350511,12.2
139745,50,17,35,Illinois,Cumberland County,12,0,10766,5358,5408,28,26,12,12,26,42,5175,5222,61,58,96.5725431915289,2.461452721530745,7.4
139973,50,17,37,Illinois,DeKalb County,12,0,104897,52068,52829,3966,4776,256,231,1368,1472,39784,39742,6181,6041,75.81341697093339,23.157001630170548,11.5
140201,50,17,39,Illinois,De Witt County,12,0,15638,7766,7872,97,56,25,18,29,46,7303,7469,227,209,94.46220744340708,4.521038495971352,7.6
140429,50,17,41,Illinois,Douglas County,12,0,19465,9668,9797,78,56,49,30,74,71,8628,8896,769,654,90.02825584382225,9.149755972257898,7.4
140657,50,17,43,Illinois,DuPage County,12,0,922921,453686,469235,22726,26094,1810,1832,57352,60155,298619,310716,68487,66023,66.0224439578252,32.99079769557741,11.9
140885,50,17,45,Illinois,Edgar County,12,0,17161,8409,8752,55,47,23,19,26,36,8120,8451,102,129,96.56197191305867,2.546471650836198,12.2
141113,50,17,47,Illinois,Edwards County,12,0,6395,3130,3265,17,17,12,19,9,16,3020,3143,48,41,96.3721657544957,2.799061767005473,18.7
141341,50,17,49,Illinois,Effingham County,12,0,34008,16975,17033,122,90,44,41,115,114,16197,16303,406,376,95.565749235474,3.8461538461538463,11.0
141569,50,17,51,Illinois,Fayette County,12,0,21336,11249,10087,927,47,33,33,36,49,9901,9741,267,125,92.06036745406824,7.1100487439070115,9.9
141797,50,17,53,Illinois,Ford County,12,0,12961,6404,6557,96,43,28,20,25,47,5928,6145,250,231,93.14867679962965,5.709436000308618,8.0
142025,50,17,55,Illinois,Franklin County,12,0,38469,18942,19527,137,98,64,90,62,93,18120,18696,335,328,95.70303361147937,3.1375913072863866,18.9
142253,50,17,57,Illinois,Fulton County,12,0,34340,17882,16458,1284,116,186,53,54,53,15564,15857,842,233,91.49970879440885,8.214909726266745,11.4
142481,50,17,59,Illinois,Gallatin County,12,0,4828,2368,2460,24,10,12,10,5,7,2244,2358,50,27,95.31897265948633,3.003314001657001,10.6
142709,50,17,61,Illinois,Greene County,12,0,12969,6556,6413,140,32,19,22,19,13,6245,6222,90,78,96.12923124373506,3.18451692497494,7.9
142937,50,17,63,Illinois,Grundy County,12,0,51054,25418,25636,471,453,93,91,187,232,21727,22090,2792,2580,85.82481294315822,13.513142946683903,12.5
143165,50,17,65,Illinois,Hamilton County,12,0,8116,3977,4139,33,19,19,15,9,21,3805,3981,84,69,95.93395761458848,3.3144406111384916,13.9
143393,50,17,67,Illinois,Hancock County,12,0,17708,8758,8950,59,55,28,35,34,33,8418,8592,143,135,96.05827874407048,2.9478201942624804,11.0
143621,50,17,69,Illinois,Hardin County,12,0,3821,1933,1888,9,8,11,16,9,10,1844,1767,37,56,94.50405652970426,4.08270086364826,8.8
143849,50,17,71,Illinois,Henderson County,12,0,6646,3231,3415,16,25,13,9,6,26,3108,3244,52,71,95.57628648811315,3.2801685224195007,11.4
144077,50,17,73,Illinois,Henry County,12,0,48913,24402,24511,564,405,83,78,97,133,21886,22231,1539,1389,90.19483572874287,8.766585570298286,11.0
144305,50,17,75,Illinois,Iroquois County,12,0,27114,13349,13765,216,115,55,48,64,88,11867,12427,1024,954,89.59946890905067,9.456369403260307,7.2
144533,50,17,77,Illinois,Jackson County,12,0,56750,28122,28628,3929,4699,158,161,1011,1000,21136,20857,1313,1328,73.9964757709251,23.962995594713657,10.9
144761,50,17,79,Illinois,Jasper County,12,0,9610,4815,4795,18,11,12,10,9,23,4672,4612,74,103,96.60770031217481,2.705515088449532,7.0
144989,50,17,81,Illinois,Jefferson County,12,0,37684,19399,18285,2076,1281,82,68,219,228,16173,15974,668,427,85.30676149028766,13.398259208152,22.9
145217,50,17,83,Illinois,Jersey County,12,0,21773,10596,11177,100,75,45,35,38,182,10160,10601,145,169,95.35204151931292,3.623754190970468,11.4
145445,50,17,85,Illinois,Jo Daviess County,12,0,21235,10636,10599,98,65,40,30,43,60,10003,10049,357,313,94.42900871203203,4.737461737697198,13.9
145673,50,17,87,Illinois,Johnson County,12,0,12417,6764,5653,854,29,36,15,13,19,5573,5403,270,120,88.39494241765323,10.920512201014738,11.5
145901,50,17,89,Illinois,Kane County,12,0,532403,265208,267195,15803,16107,2929,2524,11139,12151,148282,153168,88254,84107,56.6206426334938,43.76647013634409,12.9
146129,50,17,91,Illinois,Kankakee County,12,0,109862,54175,55687,8045,8434,250,242,573,609,38415,40239,6293,5624,71.59345360543227,27.370701425424627,11.3
146357,50,17,93,Illinois,Kendall County,12,0,128990,63908,65082,5059,5202,356,368,2006,2289,42841,44146,13208,12654,67.43701062097837,31.895495774866266,13.2
146585,50,17,95,Illinois,Knox County,12,0,49699,25120,24579,2731,1412,128,85,214,280,19978,20982,1660,1332,82.41614519406829,15.778989516891686,10.2
146813,50,17,97,Illinois,Lake County,12,0,696535,348294,348241,25477,26629,3120,2917,28519,30309,209958,211818,80357,75915,60.55345388243233,39.22889732748534,11.0
147041,50,17,99,Illinois,LaSalle County,12,0,108669,54844,53825,2272,857,224,189,374,651,45669,46421,5869,5273,84.7435791256016,14.45582456818412,13.6
147269,50,17,101,Illinois,Lawrence County,12,0,15678,8777,6901,1537,72,41,34,54,27,6651,6578,509,115,84.37938512565378,15.237912999107028,19.6
147497,50,17,103,Illinois,Lee County,12,0,34096,18111,15985,1652,259,81,48,129,147,14810,14467,1328,920,85.86637728765838,13.385734396996716,9.3
147725,50,17,105,Illinois,Livingston County,12,0,35648,17892,17756,929,592,57,55,161,168,15592,16054,953,741,88.77356373429083,10.255834829443447,8.5
147953,50,17,107,Illinois,Logan County,12,0,28618,14547,14071,1588,853,71,37,106,115,12005,12589,655,337,85.93891956111538,13.14557271647215,8.0
148181,50,17,109,Illinois,McDonough County,12,0,29682,14561,15121,761,869,48,71,371,364,12768,13235,443,431,87.60528266289333,11.313253823866317,8.0
148409,50,17,111,Illinois,McHenry County,12,0,307774,153171,154603,2990,2528,834,774,4189,5015,122102,124380,22030,20707,80.08538732966397,19.191679609063794,13.1
148637,50,17,113,Illinois,McLean County,12,0,171517,83217,88300,6930,7471,252,258,4547,4225,65520,70404,4467,4395,79.24812117749262,18.974795501320568,9.8
148865,50,17,115,Illinois,Macon County,12,0,104009,49800,54209,8598,9867,158,127,595,608,37867,41010,1256,1233,75.83670643886586,21.576978915286176,11.2
149093,50,17,117,Illinois,Macoupin County,12,0,44926,22190,22736,233,201,83,88,64,123,21302,21809,279,289,95.96002314917865,3.027200284912968,10.1
149321,50,17,119,Illinois,Madison County,12,0,262966,128013,134953,10705,12521,451,460,1220,1490,108731,113852,4666,4369,84.64326186655309,13.64511001422237,11.3
149549,50,17,121,Illinois,Marion County,12,0,37205,18202,19003,818,776,79,53,100,138,16471,17359,449,350,90.92863862384088,7.426421179948932,18.6
149777,50,17,123,Illinois,Marshall County,12,0,11438,5650,5788,47,36,28,19,24,34,5340,5465,171,168,94.4658157020458,4.607448854694876,10.4
150005,50,17,125,Illinois,Mason County,12,0,13359,6591,6768,58,31,22,27,24,37,6317,6540,96,67,96.24223370012726,2.709783666442099,8.8
150233,50,17,127,Illinois,Massac County,12,0,13772,6621,7151,421,419,35,41,38,38,5781,6299,220,217,87.71420273017718,10.376125471972117,16.3
150461,50,17,129,Illinois,Menard County,12,0,12196,5952,6244,58,53,22,19,15,36,5681,5962,104,92,95.46572646769432,3.27156444735979,9.1
150689,50,17,131,Illinois,Mercer County,12,0,15437,7695,7742,65,47,26,13,30,44,7290,7355,197,212,94.86946945650061,4.107015611841679,11.3
150917,50,17,133,Illinois,Monroe County,12,0,34637,17247,17390,78,75,47,40,73,136,16614,16715,288,282,96.22369142824148,2.9419406992522448,9.9
151145,50,17,135,Illinois,Montgomery County,12,0,28414,14893,13521,942,64,39,33,61,80,13397,13022,339,187,92.97881326106848,6.141338776659393,11.7
151373,50,17,137,Illinois,Morgan County,12,0,33658,17019,16639,1619,715,104,46,139,123,14408,15131,543,360,87.76219620892508,10.84140471804623,7.7
151601,50,17,139,Illinois,Moultrie County,12,0,14501,7082,7419,60,52,20,22,18,24,6779,7139,132,114,95.97958761464727,3.048065650644783,5.2
151829,50,17,141,Illinois,Ogle County,12,0,50643,25113,25530,364,270,109,92,145,186,21575,22144,2725,2601,86.32782418103193,12.819145785202299,11.0
152057,50,17,143,Illinois,Peoria County,12,0,179179,86927,92252,15786,17850,393,347,3859,3468,60259,64053,4566,4490,69.37866602671072,28.328654585637825,14.8
152285,50,17,145,Illinois,Perry County,12,0,20916,11551,9365,1687,216,69,23,70,44,9075,8774,524,150,85.33658443296997,13.305603365844329,16.8
152513,50,17,147,Illinois,Piatt County,12,0,16344,8111,8233,66,43,19,12,37,46,7769,7913,122,128,95.94958394517866,2.8940283896231036,6.6
152741,50,17,149,Illinois,Pike County,12,0,15561,7781,7780,198,31,22,10,27,25,7340,7560,130,93,95.7522010153589,3.4445087076666026,7.4
152969,50,17,151,Illinois,Pope County,12,0,4177,2147,2030,158,66,15,16,7,10,1896,1884,41,31,90.49557098395978,8.235575772085229,9.6
153197,50,17,153,Illinois,Pulaski County,12,0,5335,2582,2753,775,860,22,17,5,18,1658,1720,66,68,63.31771321462043,34.32052483598875,13.2
153425,50,17,155,Illinois,Putnam County,12,0,5739,2933,2806,26,18,7,11,10,26,2683,2557,187,172,91.30510541906256,7.963059766509844,12.0
153653,50,17,157,Illinois,Randolph County,12,0,31782,17519,14263,2894,477,57,53,74,89,13628,13215,772,282,84.45975709521113,14.781952048329241,12.9
153881,50,17,159,Illinois,Richland County,12,0,15513,7656,7857,86,57,25,29,60,78,7265,7445,139,156,94.82369625475407,4.061110036743377,11.9
154109,50,17,161,Illinois,Rock Island County,12,0,141879,69912,71967,8222,7494,424,478,1977,1789,48701,51982,9514,9239,70.9639904425602,27.584772940322388,13.4
154337,50,17,163,Illinois,St. Clair County,12,0,259686,125101,134585,36368,42976,531,469,1641,2415,78322,80664,5744,5471,61.222399359226145,36.81946658656993,12.1
154565,50,17,165,Illinois,Saline County,12,0,23491,11551,11940,552,348,54,62,59,87,10498,11013,206,203,91.5712400493806,6.687667617385381,13.6
154793,50,17,167,Illinois,Sangamon County,12,0,194672,93458,101214,11906,13366,270,267,2066,2141,74890,80866,2328,2400,80.00945179584122,17.84745623407578,10.8
155021,50,17,169,Illinois,Schuyler County,12,0,6768,3547,3221,197,49,9,5,7,20,3223,3066,95,62,92.92257683215131,6.560283687943262,8.1
155249,50,17,171,Illinois,Scott County,12,0,4951,2434,2517,21,10,7,4,3,9,2339,2422,40,31,96.16239143607352,2.5247424762674204,6.7
155477,50,17,173,Illinois,Shelby County,12,0,21634,10772,10862,57,30,34,22,35,38,10430,10547,132,117,96.96311361745401,2.149394471664972,8.1
155705,50,17,175,Illinois,Stark County,12,0,5342,2652,2690,18,28,6,7,15,21,2527,2540,52,57,94.852115312617,3.8187944590041183,7.8
155933,50,17,177,Illinois,Stephenson County,12,0,44498,21638,22860,2307,2336,67,69,136,174,17608,18788,1029,885,81.79244010966785,15.737785967908671,9.2
156161,50,17,179,Illinois,Tazewell County,12,0,131803,64848,66955,1172,644,242,193,500,728,60379,63151,1802,1435,93.7232081212112,5.095483410848009,13.7
156389,50,17,181,Illinois,Union County,12,0,16653,8345,8308,137,85,73,50,35,48,7532,7630,485,396,91.04665825977301,7.860445565363598,9.1
